Rank,Town,,Population,White,Black,Asian,AmericanIndian,Other,Hispanic
1,Groton,Town,"40,190",83.9%,9.1%,6.1%,2.4%,4.8%,9.4%
2,Norwich,City,"40,085",79.4%,14.5%,8.3%,2.2%,5.6%,10.0%
3,New London,City,"27,550",64.5%,20.4%,5.0%,2.5%,13.5%,27.7%
4,Montville,Town,"19,505",82.8%,6.2%,7.1%,4.0%,3.8%,6.8%
5,Waterford,Town,"19,451",92.9%,3.7%,3.5%,0.4%,1.7%,4.1%
6,East Lyme,Town,"19,080",85.9%,5.8%,5.5%,1.1%,4.1%,6.7%
7,Stonington,Town,"18,482",96.0%,2.2%,2.2%,0.7%,1.3%,2.7%
8,Colchester,Town,"15,929",97.3%,3.3%,0.6%,0.8%,0.3%,3.8%
9,Ledyard,Town,"15,016",91.7%,2.3%,5.2%,4.4%,0.9%,4.0%
10,Griswold,Town,"11,837",94.6%,2.3%,3.3%,0.7%,0.9%,5.2%
11,Groton,City,"10,305",78.8%,14.9%,6.3%,2.5%,5.2%,11.0%
12,Old Lyme,Town,"7,583",99.1%,0.5%,0.8%,1.5%,0.3%,1.5%
13,Lebanon,Town,"7,268",98.5%,1.1%,2.3%,2.1%,0.6%,3.9%
14,North Stonington,Town,"5,272",96.6%,1.9%,1.1%,0.9%,0.5%,3.5%
15,Preston,Town,"4,729",89.8%,1.6%,8.5%,3.3%,1.0%,2.5%
16,Lisbon,Town,"4,322",96.8%,2.3%,1.9%,3.6%,0.0%,0.2%
17,Salem,Town,"4,118",94.3%,1.0%,6.7%,1.8%,0.5%,4.8%
18,Jewett City,Borough,"3,445",86.8%,6.6%,8.4%,0.5%,1.2%,8.2%
19,Sprague,Town,"2,983",90.5%,0.6%,6.1%,0.0%,2.7%,2.7%
20,Bozrah,Town,"2,603",94.7%,2.9%,1.6%,1.5%,1.0%,2.7%
21,Voluntown,Town,"2,603",98.4%,2.6%,1.2%,5.1%,0.2%,1.1%
22,Lyme,Town,"2,327",97.6%,0.0%,0.3%,0.0%,2.8%,1.5%
23,Franklin,Town,"1,958",98.8%,0.1%,0.2%,3.9%,0.2%,2.1%
24,Stonington,Borough,"1,069",98.4%,0.8%,0.7%,0.0%,0.1%,3.2%
